ID,Position Title,Start Date,Hourly Wage
1,Early Childhood Teacher,11/13/2017,11
2,Early Childhood Teacher,10/23/2017,10
3,Early Childhood Teacher,5/1/2014,9.5
4,Early Childhood Teacher,12/20/1994,18.5
5,Early Childhood Teacher,2/1/2008,16.22
6,Early Childhood Teacher,10/1/2017,10
7,Early Childhood Teacher,8/15/2016,19.27
8,Early Childhood Teacher,7/6/2017,9
9,Early Childhood Teacher,6/1/1998,12.5
10,Early Childhood Teacher,10/1/2013,11
11,Early Childhood Teacher,8/14/2015,14.76
12,Early Childhood Teacher,8/29/2016,11.75
13,Early Childhood Teacher,4/15/2014,11
14,Early Childhood Teacher,12/7/2009,11.15
15,Early Childhood Teacher,8/30/2010,9.5
16,Early Childhood Teacher,3/16/2016,11
17,Early Childhood Teacher,9/7/2017,11.5
18,Early Childhood Teacher,9/1/1990,13.4
19,Early Childhood Teacher,10/1/2014,9.5
20,Early Childhood Teacher,11/14/2016,10
21,Early Childhood Teacher,8/1/2011,11.76
22,Early Childhood Teacher,3/1/2017,10
23,Early Childhood Teacher,1/1/2012,8.5
24,Early Childhood Teacher,6/12/2017,10.5
25,Early Childhood Teacher,9/2/2005,10.82
26,Early Childhood Teacher,11/6/1995,16.58
27,Early Childhood Teacher,8/27/2015,11.78
28,Early Childhood Teacher,1/3/2017,9.75
29,Early Childhood Teacher,9/1/2015,8.3
30,Early Childhood Teacher,8/10/2015,17
31,Early Childhood Teacher,1/19/2016,10.04
32,Early Childhood Teacher,9/12/2017,10
33,Early Childhood Teacher,10/20/2017,11.25
34,Early Childhood Teacher,8/31/2010,15
35,Early Childhood Teacher,8/17/2015,10
36,Early Childhood Teacher,8/21/2016,9
37,Early Childhood Teacher,3/6/2017,12
38,Early Childhood Teacher,6/12/2017,12
39,Early Childhood Teacher,11/9/2016,11
40,Early Childhood Teacher,1/8/2018,12.5
41,Early Childhood Teacher,9/1/2012,15
42,Early Childhood Teacher,11/1/2017,9.5
43,Early Childhood Teacher,6/1/2009,15
44,Early Childhood Teacher,8/14/2017,10.5
45,Early Childhood Teacher,2/17/2017,14
46,Early Childhood Teacher,11/28/2017,9
47,Early Childhood Teacher,2/11/2017,10
48,Early Childhood Teacher,8/24/2009,14
49,Early Childhood Teacher,10/25/2017,11
50,Early Childhood Teacher,9/20/2012,9.5
51,Early Childhood Teacher,4/28/2015,11
52,Early Childhood Teacher,9/4/2013,10.5
53,Early Childhood Teacher,2/13/2017,10.4
54,Early Childhood Teacher,8/25/2013,11
55,Early Childhood Teacher,2/28/2007,11.44
56,Early Childhood Teacher,2/16/2017,12.87
57,Early Childhood Teacher,3/10/2016,10.46
58,Early Childhood Teacher,8/11/2014,14.62
59,Early Childhood Teacher,10/13/2014,10.96
60,Early Childhood Teacher,4/12/2017,9.5
61,Early Childhood Teacher,8/27/2012,9.35
62,Early Childhood Teacher,10/1/2016,10
63,Early Childhood Teacher,10/25/2010,13.47
64,Early Childhood Teacher,7/30/2013,11.5
65,Early Childhood Teacher,12/9/2013,12
66,Early Childhood Teacher,9/1/2015,12.85
67,Early Childhood Teacher,8/25/2006,15.42
68,Early Childhood Teacher,9/6/2009,11.25
69,Early Childhood Teacher,9/18/2017,11
70,Early Childhood Teacher,4/29/2009,8.58
71,Early Childhood Teacher,1/3/2017,10.25
72,Early Childhood Teacher,10/31/2016,14.12
73,Early Childhood Teacher,8/15/2016,8.9
74,Early Childhood Teacher,3/31/2016,11
75,Early Childhood Teacher,10/28/1994,17.04
76,Early Childhood Teacher,9/2/2015,14.05
77,Early Childhood Teacher,6/8/2017,10.5
78,Early Childhood Teacher,5/25/2015,9.5
79,Early Childhood Teacher,8/31/2015,9.27
80,Early Childhood Teacher,9/17/2017,10.75
81,Early Childhood Teacher,10/14/2015,10.85
82,Early Childhood Teacher,8/23/2017,19.39
83,Early Childhood Teacher,8/29/2016,10
84,Early Childhood Teacher,6/10/2011,9.25
85,Early Childhood Teacher,8/22/2016,9.5
86,Early Childhood Teacher,9/26/2017,12
87,Early Childhood Teacher,11/30/2015,15.59
88,Early Childhood Teacher,12/19/2011,11
89,Early Childhood Teacher,8/28/2014,8.95
90,Early Childhood Teacher,10/13/2014,11
91,Early Childhood Teacher,2/13/2017,10.4
92,Early Childhood Teacher,8/26/2002,17.42
93,Early Childhood Teacher,10/8/2014,10
94,Early Childhood Teacher,8/30/2016,10.25
95,Early Childhood Teacher,8/24/2017,25.96
96,Early Childhood Teacher,1/2/2017,9
97,Early Childhood Teacher,11/1/2012,14.62
98,Early Childhood Teacher,8/1/2017,10
99,Early Childhood Teacher,2/13/2017,8.5
100,Early Childhood Teacher,6/1/2015,10
101,Early Childhood Teacher,7/19/2016,9.72
102,Early Childhood Teacher,3/21/2011,11
103,Early Childhood Teacher,9/29/2014,13.81
104,Early Childhood Teacher,10/13/2005,9.2
105,Early Childhood Teacher,4/1/2009,13.2
106,Early Childhood Teacher,8/21/2017,18.75
107,Early Childhood Teacher,2/1/2017,10.5
108,Early Childhood Teacher,12/7/2016,13
109,Early Childhood Teacher,1/12/2017,11.47
110,Early Childhood Teacher,3/28/2012,16.14
111,Early Childhood Teacher,8/6/2012,10.35
112,Early Childhood Teacher,6/27/2016,14.9
113,Early Childhood Teacher,7/5/2016,12
114,Early Childhood Teacher,7/1/2014,8.75
115,Early Childhood Teacher,7/1/2013,15.5
116,Early Childhood Teacher,8/28/2007,8.5
117,Early Childhood Teacher,3/9/2016,10.3
118,Early Childhood Teacher,8/8/2017,9.5
119,Early Childhood Teacher,10/5/2016,14.62
120,Early Childhood Teacher,1/2/2018,10
121,Early Childhood Teacher,7/27/2011,10.15
122,Early Childhood Teacher,9/4/2017,10.5
123,Early Childhood Teacher,11/9/2015,8.5
124,Early Childhood Teacher,7/24/2013,8.3
125,Early Childhood Teacher,1/2/2018,14
126,Early Childhood Teacher,8/18/2017,10.5
127,Early Childhood Teacher,9/11/2017,10
128,Early Childhood Teacher,9/2/2013,16
129,Early Childhood Teacher,6/1/2009,9.3
130,Early Childhood Teacher,4/14/2014,11.4
131,Early Childhood Teacher,8/15/2016,15.09
132,Early Childhood Teacher,2/20/2018,8.75
133,Early Childhood Teacher,6/3/2015,10.5
134,Early Childhood Teacher,8/22/2017,12
135,Early Childhood Teacher,7/30/2014,11.5
136,Early Childhood Teacher,8/26/2016,14
137,Early Childhood Teacher,9/6/2016,15.64
138,Early Childhood Teacher,3/3/2014,8.3
139,Early Childhood Teacher,9/2/2014,11.5
140,Early Childhood Teacher,8/1/2012,25
141,Early Childhood Teacher,1/31/2017,14.25
142,Early Childhood Teacher,8/20/2004,11.8
143,Early Childhood Teacher,9/5/2017,9.81
144,Early Childhood Teacher,8/15/2016,15.88
145,Early Childhood Teacher,11/3/2016,11.36
146,Early Childhood Teacher,7/5/2017,10.5
147,Early Childhood Teacher,7/25/2016,11
148,Early Childhood Teacher,9/26/2014,8.5
149,Early Childhood Teacher,1/1/2017,12
150,Early Childhood Teacher,8/12/2010,14.33
151,Early Childhood Teacher,6/13/2016,8.3
152,Early Childhood Teacher,9/9/2015,13.5
153,Early Childhood Teacher,2/2/2007,10.85
154,Early Childhood Teacher,2/11/2015,11.5
155,Early Childhood Teacher,10/1/2001,17.25
156,Early Childhood Teacher,9/3/2000,20
157,Early Childhood Teacher,5/1/2010,14.68
158,Early Childhood Teacher,6/12/2017,13.36
159,Early Childhood Teacher,9/2/1992,15.8
160,Early Childhood Teacher,10/1/2015,12.6
161,Early Childhood Teacher,4/20/2015,10.36
162,Early Childhood Teacher,8/8/2017,11
163,Early Childhood Teacher,9/18/2017,12.2
164,Early Childhood Teacher,8/15/2017,12.25
165,Early Childhood Teacher,9/4/2015,12.5
166,Early Childhood Teacher,8/29/2012,8.3
167,Early Childhood Teacher,7/17/2017,13
168,Early Childhood Teacher,12/21/2016,10
169,Early Childhood Teacher,11/4/2013,8.5
170,Early Childhood Teacher,3/6/2006,11.02
171,Early Childhood Teacher,8/26/2013,11.25
172,Early Childhood Teacher,1/1/2015,12
173,Early Childhood Teacher,12/19/2016,10.25
174,Early Childhood Teacher,8/29/2016,23.55
175,Early Childhood Teacher,1/5/2017,9
176,Early Childhood Teacher,6/28/2017,10.5
177,Early Childhood Teacher,10/7/1992,17.79
178,Early Childhood Teacher,3/15/2016,10
179,Early Childhood Teacher,8/26/2009,25
180,Early Childhood Teacher,3/13/2017,10
181,Early Childhood Teacher,8/20/2013,26.33
182,Early Childhood Teacher,8/25/2003,15.4
183,Early Childhood Teacher,3/2/2015,14.5
184,Early Childhood Teacher,8/11/2016,15.32
185,Early Childhood Teacher,2/8/2017,11
186,Early Childhood Teacher,8/26/2015,16.23
187,Early Childhood Teacher,4/1/2007,10.1
188,Early Childhood Teacher,9/6/2016,11
189,Early Childhood Teacher,1/22/2018,10
190,Early Childhood Teacher,9/1/2017,12
191,Early Childhood Teacher,12/26/2011,16.39
192,Early Childhood Teacher,12/29/2014,11.36
193,Early Childhood Teacher,8/9/2017,10
194,Early Childhood Teacher,12/7/2015,12
195,Early Childhood Teacher,7/17/2017,14.45
196,Early Childhood Teacher,4/30/2012,11.5
197,Early Childhood Teacher,10/16/2017,11
198,Early Childhood Teacher,2/20/2017,9.5
199,Early Childhood Teacher,7/6/2006,15.44
